cell_index,family,mirror_partner,cell_center_x,cell_center_y,boundary_touch_flag,fail_press,fail_comm,margin_press,margin_comm,margin_min,pressure_abs_midpoint,pressure_gradient_proxy,convective_proxy,shell_face_variation,local_momentum_residual_proxy
15,commutator-only family,58.0,0.511405,0.26374,1,False,True,0.0056869999999999,-0.506659,-0.506659,0.617636,44.6054,55.6491,0.574408,0.55835
24,commutator-only family,45.0,0.484919,0.295026,0,False,True,0.697601,-0.1869459999999998,-0.1869459999999998,0.324895,12.5524,16.8538,0.0969656,0.814839
25,commutator-only family,44.0,0.45512,0.2717,0,False,True,0.3182549999999999,-0.173254,-0.173254,0.601574,18.2831,14.8201,0.113027,0.942841
44,commutator-only family,25.0,0.45512,0.1283,0,False,True,0.3157479999999999,-0.1747,-0.1747,0.602428,18.345,14.8877,0.113129,0.941928
45,commutator-only family,24.0,0.484919,0.104974,0,False,True,0.708059,-0.1674150000000001,-0.1674150000000001,0.326105,12.5131,16.9786,0.0945809,0.802506
58,commutator-only family,15.0,0.511405,0.13626,1,False,True,0.0116249999999999,-0.500054,-0.500054,0.61459,44.4797,55.4565,0.573611,0.557873
26,dual mixed pair,47.0,0.488595,0.26374,1,True,True,-0.3255910000000002,-0.6385149999999999,-0.6385149999999999,0.429764,50.4022,45.149,0.573357,0.686318
47,dual mixed pair,26.0,0.488595,0.13626,1,True,True,-0.3180189999999998,-0.6290109999999998,-0.6290109999999998,0.426763,50.3329,45.0038,0.572611,0.68472
30,pressure-only family,,0.448917,0.233123,1,True,False,-0.006761,0.2747029999999999,-0.006761,1.10295,34.2584,19.9731,0.429919,0.680937
31,pressure-only family,42.0,0.43626,0.211405,1,True,False,-0.1842359999999998,0.4992609999999999,-0.1842359999999998,1.71302,21.1413,7.62158,0.291659,0.710965
42,pressure-only family,31.0,0.43626,0.188595,1,True,False,-0.198453,0.4875100000000001,-0.198453,1.7064,21.5241,7.7312,0.294596,0.716772
